Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
CERRO VERDE;[SHOUNKI29T1] SHORT PLAYA KIDS (Gris Azulado, 1);SHOUNKI29T1;SHORT PLAYA KIDS;Kids;Gris Azulado;1;2,00
CERRO VERDE;[SHOUNKI50T1] SHORT PLAYA KIDS (Rojo, 1);SHOUNKI50T1;SHORT PLAYA KIDS;Kids;Rojo;1;3,00
CERRO VERDE;[SHOUNKI57T1] SHORT PLAYA KIDS (Terracota, 1);SHOUNKI57T1;SHORT PLAYA KIDS;Kids;Terracota;1;4,00
CERRO VERDE;[SHOUNKI29T4] SHORT PLAYA KIDS (Gris Azulado, 4);SHOUNKI29T4;SHORT PLAYA KIDS;Kids;Gris Azulado;4;2,00
CERRO VERDE;[SHOUNKI33T1] SHORT PLAYA KIDS (Kaki, 1);SHOUNKI33T1;SHORT PLAYA KIDS;Kids;Kaki;1;2,00
CERRO VERDE;[SHOUNKI68T1] SHORT PLAYA KIDS (Verde Oliva, 1);SHOUNKI68T1;SHORT PLAYA KIDS;Kids;Verde Oliva;1;2,00
CERRO VERDE;[SHOUNKI68T4] SHORT PLAYA KIDS (Verde Oliva, 4);SHOUNKI68T4;SHORT PLAYA KIDS;Kids;Verde Oliva;4;1,00
CERRO VERDE;[SHOUNKI13T4] SHORT PLAYA KIDS (Azul Rey, 4);SHOUNKI13T4;SHORT PLAYA KIDS;Kids;Azul Rey;4;1,00
CERRO VERDE;[SHOUNKI23T4] SHORT PLAYA KIDS (Coral, 4);SHOUNKI23T4;SHORT PLAYA KIDS;Kids;Coral;4;2,00
CERRO VERDE;[SHOUNKI01T6] SHORT PLAYA KIDS (Aguamarina, 6);SHOUNKI01T6;SHORT PLAYA KIDS;Kids;Aguamarina;6;2,00
CERRO VERDE;[SHOUNKI01T8] SHORT PLAYA KIDS (Aguamarina, 8);SHOUNKI01T8;SHORT PLAYA KIDS;Kids;Aguamarina;8;1,00
CERRO VERDE;[SHOUNKI23T6] SHORT PLAYA KIDS (Coral, 6);SHOUNKI23T6;SHORT PLAYA KIDS;Kids;Coral;6;3,00
CERRO VERDE;[SHOUNKI29T6] SHORT PLAYA KIDS (Gris Azulado, 6);SHOUNKI29T6;SHORT PLAYA KIDS;Kids;Gris Azulado;6;1,00
CERRO VERDE;[SHOUNKI50T6] SHORT PLAYA KIDS (Rojo, 6);SHOUNKI50T6;SHORT PLAYA KIDS;Kids;Rojo;6;4,00
CERRO VERDE;[SHOUNKI33T6] SHORT PLAYA KIDS (Kaki, 6);SHOUNKI33T6;SHORT PLAYA KIDS;Kids;Kaki;6;1,00
CERRO VERDE;[SHOUNKI12T10] SHORT PLAYA KIDS (Azul Marino, 10);SHOUNKI12T10;SHORT PLAYA KIDS;Kids;Azul Marino;10;3,00
CERRO VERDE;[SHOUNKI29T8] SHORT PLAYA KIDS (Gris Azulado, 8);SHOUNKI29T8;SHORT PLAYA KIDS;Kids;Gris Azulado;8;1,00
CERRO VERDE;[SHOUNKI33T8] SHORT PLAYA KIDS (Kaki, 8);SHOUNKI33T8;SHORT PLAYA KIDS;Kids;Kaki;8;2,00
CERRO VERDE;[SHOUNKI68T8] SHORT PLAYA KIDS (Verde Oliva, 8);SHOUNKI68T8;SHORT PLAYA KIDS;Kids;Verde Oliva;8;1,00
CERRO VERDE;[SHOUNKI29T10] SHORT PLAYA KIDS (Gris Azulado, 10);SHOUNKI29T10;SHORT PLAYA KIDS;Kids;Gris Azulado;10;1,00
CERRO VERDE;[SHOUNKI01T10] SHORT PLAYA KIDS (Aguamarina, 10);SHOUNKI01T10;SHORT PLAYA KIDS;Kids;Aguamarina;10;2,00
CERRO VERDE;[SHOUNKI13T12] SHORT PLAYA KIDS (Azul Rey, 12);SHOUNKI13T12;SHORT PLAYA KIDS;Kids;Azul Rey;12;4,00
CERRO VERDE;[SHOUNKI33T10] SHORT PLAYA KIDS (Kaki, 10);SHOUNKI33T10;SHORT PLAYA KIDS;Kids;Kaki;10;2,00
CERRO VERDE;[SHOUNKI68T10] SHORT PLAYA KIDS (Verde Oliva, 10);SHOUNKI68T10;SHORT PLAYA KIDS;Kids;Verde Oliva;10;3,00
CERRO VERDE;[SHOUNKI50T14] SHORT PLAYA KIDS (Rojo, 14);SHOUNKI50T14;SHORT PLAYA KIDS;Kids;Rojo;14;1,00
CERRO VERDE;[SHOUNKI57T14] SHORT PLAYA KIDS (Terracota, 14);SHOUNKI57T14;SHORT PLAYA KIDS;Kids;Terracota;14;2,00
CERRO VERDE;[SHOUNKI23T12] SHORT PLAYA KIDS (Coral, 12);SHOUNKI23T12;SHORT PLAYA KIDS;Kids;Coral;12;1,00
CERRO VERDE;[SHOUNKI68T14] SHORT PLAYA KIDS (Verde Oliva, 14);SHOUNKI68T14;SHORT PLAYA KIDS;Kids;Verde Oliva;14;1,00
CERRO VERDE;[SHOSUKI153T10] SHORT PLAYA ESTAMPADO KIDS (SAL, 10);SHOSUKI153T10;SHORT PLAYA ESTAMPADO KIDS;Kids;Sal;10;3,00
CERRO VERDE;[SHOSUKI154T10] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 10);SHOSUKI154T10;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;10;5,00
CERRO VERDE;[SHOSUKI154T14] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 14);SHOSUKI154T14;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;14;8,00
CERRO VERDE;[SHOSUKI154T8] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 8);SHOSUKI154T8;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;8;6,00
CERRO VERDE;[SHOSUKI156T8] SHORT PLAYA ESTAMPADO KIDS (TUCUPIDO, 8);SHOSUKI156T8;SHORT PLAYA ESTAMPADO KIDS;Kids;Tucupido;8;4,00
CERRO VERDE;[SHOSUKI156T12] SHORT PLAYA ESTAMPADO KIDS (TUCUPIDO, 12);SHOSUKI156T12;SHORT PLAYA ESTAMPADO KIDS;Kids;Tucupido;12;3,00
CERRO VERDE;[SHOSUKI155T12] SHORT PLAYA ESTAMPADO KIDS (PLAYUELA, 12);SHOSUKI155T12;SHORT PLAYA ESTAMPADO KIDS;Kids;Playuela;12;2,00
CERRO VERDE;[SHOSUKI154T12] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 12);SHOSUKI154T12;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;12;7,00
