Ubicación;Producto;SKU;Modelo;Genero;Color;talla;Cantidad en inventario
CHACAO;[PANNTKI43T10] EXPLORE PANTS KIDS (Negro, 10);PANNTKI43T10;EXPLORE PANTS KIDS;Kids;Negro;10;1,00
CHACAO;[PANNTKI33T2] EXPLORE PANTS KIDS (Kaki, 2);PANNTKI33T2;EXPLORE PANTS KIDS;Kids;Kaki;2;2,00
CHACAO;[PANNTDA33TL] EXPLORE PANTS DAMA (Kaki, L);PANNTDA33TL;EXPLORE PANTS DAMA;Dama;Kaki;L;1,00
CHACAO;[PANNTCA33TM] EXPLORE PANTS CAB (Kaki, M);PANNTCA33TM;EXPLORE PANTS CAB;Caballero;Kaki;M;2,00
CHACAO;[PANNTCA33TL] EXPLORE PANTS CAB (Kaki, L);PANNTCA33TL;EXPLORE PANTS CAB;Caballero;Kaki;L;2,00
CHACAO;[PANNTCA43TL] EXPLORE PANTS CAB (Negro, L);PANNTCA43TL;EXPLORE PANTS CAB;Caballero;Negro;L;1,00
CHACAO;[PANNTCA66TL] EXPLORE PANTS CAB (Verde Militar, L);PANNTCA66TL;EXPLORE PANTS CAB;Caballero;Verde Militar;L;1,00
CHACAO;[PANNTCA66TM] EXPLORE PANTS CAB (Verde Militar, M);PANNTCA66TM;EXPLORE PANTS CAB;Caballero;Verde Militar;M;1,00
CHACAO;[PANNTDA12TL] EXPLORE PANTS DAMA (Azul Marino, L);PANNTDA12TL;EXPLORE PANTS DAMA;Dama;Azul Marino;L;1,00
CHACAO;[PANNTDA31TM] EXPLORE PANTS DAMA (Gris Oscuro, M);PANNTDA31TM;EXPLORE PANTS DAMA;Dama;Gris Oscuro;M;1,00
CHACAO;[PANNTDA31TXS] EXPLORE PANTS DAMA (Gris Oscuro, XS);PANNTDA31TXS;EXPLORE PANTS DAMA;Dama;Gris Oscuro;XS;1,00
CHACAO;[PANNTDA43TM] EXPLORE PANTS DAMA (Negro, M);PANNTDA43TM;EXPLORE PANTS DAMA;Dama;Negro;M;1,00
CHACAO;[PANNTDA66TL] EXPLORE PANTS DAMA (Verde Militar, L);PANNTDA66TL;EXPLORE PANTS DAMA;Dama;Verde Militar;L;1,00
CHACAO;[PANNTCA43TM] EXPLORE PANTS CAB (Negro, M);PANNTCA43TM;EXPLORE PANTS CAB;Caballero;Negro;M;-1,00
GRANDPLAZ;[PANNTCA43TXL] EXPLORE PANTS CAB (Negro, XL);PANNTCA43TXL;EXPLORE PANTS CAB;Caballero;Negro;XL;4,00
GRANDPLAZ;[PANNTCA33TM] EXPLORE PANTS CAB (Kaki, M);PANNTCA33TM;EXPLORE PANTS CAB;Caballero;Kaki;M;2,00
GRANDPLAZ;[PANNTDA33TXL] EXPLORE PANTS DAMA (Kaki, XL);PANNTDA33TXL;EXPLORE PANTS DAMA;Dama;Kaki;XL;1,00
GRANDPLAZ;[PANNTDA33TM] EXPLORE PANTS DAMA (Kaki, M);PANNTDA33TM;EXPLORE PANTS DAMA;Dama;Kaki;M;1,00
GRANDPLAZ;[PANNTCA33TL] EXPLORE PANTS CAB (Kaki, L);PANNTCA33TL;EXPLORE PANTS CAB;Caballero;Kaki;L;4,00
GRANDPLAZ;[PANNTDA66TL] EXPLORE PANTS DAMA (Verde Militar, L);PANNTDA66TL;EXPLORE PANTS DAMA;Dama;Verde Militar;L;1,00
GRANDPLAZ;[PANNTCA12TM] EXPLORE PANTS CAB (Azul Marino, M);PANNTCA12TM;EXPLORE PANTS CAB;Caballero;Azul Marino;M;2,00
