Ubicación;Producto;SKU;MODELO;GENERO;TALLA;COLOR;Cantidad en inventario
SAMBIL;[JAPKI43T4] CUADRO JACKET 2.0 KIDS (4, NEGRO);JAPKI43T4;CUADRO JACKET 2.0 KIDS;Kids;4;Negro;2,00
SAMBIL;[JAPKI35T4] CUADRO JACKET 2.0 KIDS (4, Magenta);JAPKI35T4;CUADRO JACKET 2.0 KIDS;Kids;4;Magenta;1,00
SAMBIL;[JAPKI01T4] CUADRO JACKET 2.0 KIDS (4, AGUAMARINA);JAPKI01T4;CUADRO JACKET 2.0 KIDS;Kids;4;Aguamarina;5,00
SAMBIL;[JAPKI162T4] CUADRO JACKET 2.0 KIDS (4, Azul Polo);JAPKI162T4;CUADRO JACKET 2.0 KIDS;Kids;4;Azul Polo;1,00
SAMBIL;[JAPKI01T2] CUADRO JACKET 2.0 KIDS (2, AGUAMARINA);JAPKI01T2;CUADRO JACKET 2.0 KIDS;Kids;2;Aguamarina;3,00
SAMBIL;[JAPKI43T2] CUADRO JACKET 2.0 KIDS (2, NEGRO);JAPKI43T2;CUADRO JACKET 2.0 KIDS;Kids;2;Negro;4,00
SAMBIL;[JAPKI162T2] CUADRO JACKET 2.0 KIDS (2, Azul Polo);JAPKI162T2;CUADRO JACKET 2.0 KIDS;Kids;2;Azul Polo;5,00
SAMBIL;[JAPKI01T8] CUADRO JACKET 2.0 KIDS (8, AGUAMARINA);JAPKI01T8;CUADRO JACKET 2.0 KIDS;Kids;8;Aguamarina;6,00
SAMBIL;[JAPKI43T8] CUADRO JACKET 2.0 KIDS (8, NEGRO);JAPKI43T8;CUADRO JACKET 2.0 KIDS;Kids;8;Negro;6,00
SAMBIL;[JAPKI01T10] CUADRO JACKET 2.0 KIDS (10, AGUAMARINA);JAPKI01T10;CUADRO JACKET 2.0 KIDS;Kids;10;Aguamarina;3,00
SAMBIL;[JAPKI43T10] CUADRO JACKET 2.0 KIDS (10, NEGRO);JAPKI43T10;CUADRO JACKET 2.0 KIDS;Kids;10;Negro;3,00
SAMBIL;[JAPKI35T10] CUADRO JACKET 2.0 KIDS (10, Magenta);JAPKI35T10;CUADRO JACKET 2.0 KIDS;Kids;10;Magenta;2,00
SAMBIL;[JAPKI162T10] CUADRO JACKET 2.0 KIDS (10, Azul Polo);JAPKI162T10;CUADRO JACKET 2.0 KIDS;Kids;10;Azul Polo;3,00
SAMBIL;[JAPDA162TXL] CUADRO JACKET 2.0 DAMA (XL, Azul Polo);JAPDA162TXL;CUADRO JACKET 2.0 DAMA;Dama;XL;Azul Polo;9,00
SAMBIL;[JAPKI162T8] CUADRO JACKET 2.0 KIDS (8, Azul Polo);JAPKI162T8;CUADRO JACKET 2.0 KIDS;Kids;8;Azul Polo;4,00
SAMBIL;[JAPCA01T2XL] CUADRO JACKET 2.0 CAB (2XL, AGUAMARINA);JAPCA01T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Aguamarina;6,00
SAMBIL;[JAPDA43TS] CUADRO JACKET 2.0 DAMA (S, NEGRO);JAPDA43TS;CUADRO JACKET 2.0 DAMA;Dama;S;Negro;7,00
SAMBIL;[JAPDA35TS] CUADRO JACKET 2.0 DAMA (S, Magenta);JAPDA35TS;CUADRO JACKET 2.0 DAMA;Dama;S;Magenta;6,00
SAMBIL;[JAPKI35T8] CUADRO JACKET 2.0 KIDS (8, Magenta);JAPKI35T8;CUADRO JACKET 2.0 KIDS;Kids;8;Magenta;3,00
SAMBIL;[JAPCA66T2XL] CUADRO JACKET 2.0 CAB (2XL, VERDE MILITAR);JAPCA66T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Verde Militar;4,00
SAMBIL;[JAPDA43TXS] CUADRO JACKET 2.0 DAMA (XS, NEGRO);JAPDA43TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Negro;6,00
SAMBIL;[JAPCA43TS] CUADRO JACKET 2.0 CAB (S, NEGRO);JAPCA43TS;CUADRO JACKET 2.0 CAB;Caballero;S;Negro;9,00
SAMBIL;[JAPCA43TL] CUADRO JACKET 2.0 CAB (L, NEGRO);JAPCA43TL;CUADRO JACKET 2.0 CAB;Caballero;L;Negro;7,00
SAMBIL;[JAPCA43TM] CUADRO JACKET 2.0 CAB (M, NEGRO);JAPCA43TM;CUADRO JACKET 2.0 CAB;Caballero;M;Negro;9,00
SAMBIL;[JAPCA43TXL] CUADRO JACKET 2.0 CAB (XL, NEGRO);JAPCA43TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Negro;5,00
SAMBIL;[JAPCA43T2XL] CUADRO JACKET 2.0 CAB (2XL, NEGRO);JAPCA43T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Negro;3,00
SAMBIL;[JAPKI162T12] CUADRO JACKET 2.0 KIDS (12, Azul Polo);JAPKI162T12;CUADRO JACKET 2.0 KIDS;Kids;12;Azul Polo;5,00
SAMBIL;[JAPKI43T12] CUADRO JACKET 2.0 KIDS (12, NEGRO);JAPKI43T12;CUADRO JACKET 2.0 KIDS;Kids;12;Negro;4,00
SAMBIL;[JAPKI35T12] CUADRO JACKET 2.0 KIDS (12, Magenta);JAPKI35T12;CUADRO JACKET 2.0 KIDS;Kids;12;Magenta;3,00
SAMBIL;[JAPCA01T2XL] CUADRO JACKET 2.0 CAB (2XL, AGUAMARINA);JAPCA01T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Aguamarina;1,00
SAMBIL;[JAPCA01TL] CUADRO JACKET 2.0 CAB (L, AGUAMARINA);JAPCA01TL;CUADRO JACKET 2.0 CAB;Caballero;L;Aguamarina;1,00
SAMBIL;[JAPCA01TXL] CUADRO JACKET 2.0 CAB (XL, AGUAMARINA);JAPCA01TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Aguamarina;1,00
SAMBIL;[JAPKI01T10] CUADRO JACKET 2.0 KIDS (10, AGUAMARINA);JAPKI01T10;CUADRO JACKET 2.0 KIDS;Kids;10;Aguamarina;1,00
