Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
CERRO VERDE;[BAPCCDA184TM] BASIC LINE PANT DAMA (Peanut, M);BAPCCDA184TM;BASIC LINE PANT;DAMA;Peanut;M;0
CERRO VERDE;[BAPCCDA184TXL] BASIC LINE PANT DAMA (Peanut, XL);BAPCCDA184TXL;BASIC LINE PANT;DAMA;Peanut;XL;5
CERRO VERDE;[BASCCDA43TXS] BASIC LINE SHORT DAMA (Black, XS);BASCCDA43TXS;BASIC LINE SHORT;DAMA;Black;XS;6
CERRO VERDE;[BASCCDA43TS] BASIC LINE SHORT DAMA (Black, S);BASCCDA43TS;BASIC LINE SHORT;DAMA;Black;S;4
CERRO VERDE;[BASCCDA43TM] BASIC LINE SHORT DAMA (Black, M);BASCCDA43TM;BASIC LINE SHORT;DAMA;Black;M;5
CERRO VERDE;[BASCCDA43TL] BASIC LINE SHORT DAMA (Black, L);BASCCDA43TL;BASIC LINE SHORT;DAMA;Black;L;5
CERRO VERDE;[BASCCDA43TXL] BASIC LINE SHORT DAMA (Black, XL);BASCCDA43TXL;BASIC LINE SHORT;DAMA;Black;XL;5
CERRO VERDE;[BASCCDA38TXS] BASIC LINE SHORT DAMA (Peanut, XS);BASCCDA38TXS;BASIC LINE SHORT;DAMA;Peanut;XS;3
CERRO VERDE;[BASCCDA38TS] BASIC LINE SHORT DAMA (Peanut, S);BASCCDA38TS;BASIC LINE SHORT;DAMA;Peanut;S;6
CERRO VERDE;[BASCCDA38TM] BASIC LINE SHORT DAMA (Peanut, M);BASCCDA38TM;BASIC LINE SHORT;DAMA;Peanut;M;8
CERRO VERDE;[BASCCDA38TL] BASIC LINE SHORT DAMA (Peanut, L);BASCCDA38TL;BASIC LINE SHORT;DAMA;Peanut;L;2
CERRO VERDE;[BASCCDA38TXL] BASIC LINE SHORT DAMA (Peanut, XL);BASCCDA38TXL;BASIC LINE SHORT;DAMA;Peanut;XL;0
CHACAO;[BACCCDA43TXS] BASIC LINE CROP TEE DAMA (Black, XS);BACCCDA43TXS;BASIC LINE CROP TEE;DAMA;Black;XS;7
CHACAO;[BACCCDA43TS] BASIC LINE CROP TEE DAMA (Black, S);BACCCDA43TS;BASIC LINE CROP TEE;DAMA;Black;S;7
CHACAO;[BACCCDA43TM] BASIC LINE CROP TEE DAMA (Black, M);BACCCDA43TM;BASIC LINE CROP TEE;DAMA;Black;M;4
CHACAO;[BACCCDA43TXL] BASIC LINE CROP TEE DAMA (Black, XL);BACCCDA43TXL;BASIC LINE CROP TEE;DAMA;Black;XL;2
CHACAO;[BACCCDA158TXS] BASIC LINE CROP TEE DAMA (Ivory, XS);BACCCDA158TXS;BASIC LINE CROP TEE;DAMA;Ivory;XS;2
CHACAO;[BACCCDA158TS] BASIC LINE CROP TEE DAMA (Ivory, S);BACCCDA158TS;BASIC LINE CROP TEE;DAMA;Ivory;S;1
CHACAO;[BACCCDA158TM] BASIC LINE CROP TEE DAMA (Ivory, M);BACCCDA158TM;BASIC LINE CROP TEE;DAMA;Ivory;M;3
CHACAO;[BACCCDA158TL] BASIC LINE CROP TEE DAMA (Ivory, L);BACCCDA158TL;BASIC LINE CROP TEE;DAMA;Ivory;L;1
CHACAO;[BACCCDA158TXL] BASIC LINE CROP TEE DAMA (Ivory, XL);BACCCDA158TXL;BASIC LINE CROP TEE;DAMA;Ivory;XL;4
CHACAO;[BACCCDA38TL] BASIC LINE CROP TEE DAMA (Peanut, L);BACCCDA38TL;BASIC LINE CROP TEE;DAMA;Peanut;L;5
CHACAO;[BACCCDA38TXL] BASIC LINE CROP TEE DAMA (Peanut, XL);BACCCDA38TXL;BASIC LINE CROP TEE;DAMA;Peanut;XL;3
CHACAO;[BAOCCCA43TS] BASIC LINE OVERSIZED CAB (Black, S);BAOCCCA43TS;BASIC LINE OVERSIZED;CAB;Black;S;5
CHACAO;[BAOCCCA43TM] BASIC LINE OVERSIZED CAB (Black, M);BAOCCCA43TM;BASIC LINE OVERSIZED;CAB;Black;M;2
CHACAO;[BAOCCCA43T2XL] BASIC LINE OVERSIZED CAB (Black, 2XL);BAOCCCA43T2XL;BASIC LINE OVERSIZED;CAB;Black;2XL;4
CHACAO;[BAOCCCA158TXS] BASIC LINE OVERSIZED CAB (Ivory, XS);BAOCCCA158TXS;BASIC LINE OVERSIZED;CAB;Ivory;XS;3
CHACAO;[BAOCCCA158TS] BASIC LINE OVERSIZED CAB (Ivory, S);BAOCCCA158TS;BASIC LINE OVERSIZED;CAB;Ivory;S;4
CHACAO;[BAOCCCA158TL] BASIC LINE OVERSIZED CAB (Ivory, L);BAOCCCA158TL;BASIC LINE OVERSIZED;CAB;Ivory;L;1
CHACAO;[BAOCCCA158T2XL] BASIC LINE OVERSIZED CAB (Ivory, 2XL);BAOCCCA158T2XL;BASIC LINE OVERSIZED;CAB;Ivory;2XL;4
CHACAO;[BAOCCCA38TXS] BASIC LINE OVERSIZED CAB (Peanut, XS);BAOCCCA38TXS;BASIC LINE OVERSIZED;CAB;Peanut;XS;2
CHACAO;[BAOCCCA38TS] BASIC LINE OVERSIZED CAB (Peanut, S);BAOCCCA38TS;BASIC LINE OVERSIZED;CAB;Peanut;S;8
CHACAO;[BAOCCCA38TXL] BASIC LINE OVERSIZED CAB (Peanut, XL);BAOCCCA38TXL;BASIC LINE OVERSIZED;CAB;Peanut;XL;3
CHACAO;[BAOCCCA38T2XL] BASIC LINE OVERSIZED CAB (Peanut, 2XL);BAOCCCA38T2XL;BASIC LINE OVERSIZED;CAB;Peanut;2XL;3
