ARTICULO_NORM,CATEGORIA,n_solicitudes,und_solicitadas,und_atendidas,und_no_disponible,n_atendidas,n_no_disponible,n_sin_estado,demanda_sem_max,n_sucursales,und_por_dia,und_por_semana,und_por_quincena,und_por_mes,pct_lineas_atendidas,pct_lineas_no_disponible,pct_und_atendidas,pct_und_no_disponible,senal_ruptura,pedido_semanal_sugerido,pedido_quincenal_sugerido,pedido_mensual_sugerido,MIN_und,MAX_und,ROP_und,Q_pedido_ref_mensual,GRUPO,demanda_sem_std,demanda_sem_prom,demanda_sem_mediana
ROLLO IMPRESORA FISCAL PAQ 5 UND,SUMINISTROS,17.0,44.0,28.0,15.0,15.0,1.0,1.0,18.0,9.0,0.7333333333333333,5.133333333333334,11.0,22.0,0.8823529411764706,0.058823529411764705,0.6363636363636364,0.3409090909090909,BAJA,7,14,27,9,36,7,27,UNIFICADO,,5.133333333333334,5.133333333333334
SOBRE GRANDE,OFICINA,4.0,42.0,42.0,0.0,4.0,0.0,0.0,40.0,4.0,0.7,4.9,10.5,21.0,1.0,0.0,1.0,0.0,BAJA,6,13,26,20,80,6,26,UNIFICADO,,4.9,4.9
SOBRE MANILA TAMANO CARTA,OFICINA,3.0,41.0,41.0,0.0,3.0,0.0,0.0,20.0,3.0,0.6833333333333333,4.783333333333333,10.25,20.5,1.0,0.0,1.0,0.0,BAJA,6,13,25,10,40,6,25,UNIFICADO,,4.783333333333333,4.783333333333333
TIRRO,OFICINA,22.0,40.0,36.0,4.0,19.0,3.0,0.0,6.0,7.0,0.6666666666666666,4.666666666666667,10.0,20.0,0.8636363636363636,0.13636363636363635,0.9,0.1,MEDIA,6,12,24,5,24,6,24,UNIFICADO,,4.666666666666667,4.666666666666667
AMBIENTADOR GLADE,LIMPIEZA E HIGIENE,20.0,37.0,30.0,7.0,16.0,4.0,0.0,5.0,6.0,0.6166666666666667,4.316666666666666,9.25,18.5,0.8,0.2,0.8108108108108109,0.1891891891891892,MEDIA,6,12,23,5,23,6,23,UNIFICADO,,4.316666666666666,4.316666666666666
PAPEL SANITARIO INDUSTRIAL,LIMPIEZA E HIGIENE,19.0,32.0,32.0,0.0,19.0,0.0,0.0,5.0,5.0,0.5333333333333333,3.7333333333333334,8.0,16.0,1.0,0.0,1.0,0.0,BAJA,5,10,20,4,20,5,20,UNIFICADO,,3.7333333333333334,3.7333333333333334
DESINFECTANTE,LIMPIEZA E HIGIENE,22.0,30.0,30.0,0.0,22.0,0.0,0.0,5.0,8.0,0.5,3.5,7.5,15.0,1.0,0.0,1.0,0.0,BAJA,5,9,18,4,18,5,18,UNIFICADO,,3.5,3.5
MARCADOR PERMANENTE PUNTA FINA,OFICINA,19.0,27.0,24.0,3.0,16.0,3.0,0.0,6.0,8.0,0.45,3.15,6.75,13.5,0.8421052631578947,0.15789473684210525,0.8888888888888888,0.1111111111111111,MEDIA,4,9,17,4,17,4,17,UNIFICADO,,3.15,3.15
CLORO,LIMPIEZA E HIGIENE,19.0,25.0,25.0,0.0,19.0,0.0,0.0,3.0,7.0,0.4166666666666667,2.916666666666667,6.25,12.5,1.0,0.0,1.0,0.0,BAJA,4,8,15,3,15,4,15,UNIFICADO,,2.916666666666667,2.916666666666667
CINTA TERMICA,SUMINISTROS,16.0,24.0,23.0,1.0,15.0,1.0,0.0,12.0,7.0,0.4,2.8000000000000003,6.0,12.0,0.9375,0.0625,0.9583333333333334,0.041666666666666664,BAJA,4,8,15,6,24,4,15,UNIFICADO,,2.8000000000000003,2.8000000000000003
