ARTICULO_NORM,CATEGORIA,n_solicitudes,und_solicitadas,und_atendidas,und_no_disponible,n_atendidas,n_no_disponible,n_sin_estado,demanda_sem_max,n_sucursales,und_por_dia,und_por_semana,und_por_quincena,und_por_mes,pct_lineas_atendidas,pct_lineas_no_disponible,pct_und_atendidas,pct_und_no_disponible,senal_ruptura,pedido_semanal_sugerido,pedido_quincenal_sugerido,pedido_mensual_sugerido,MIN_und,MAX_und,ROP_und,Q_pedido_ref_mensual,GRUPO,demanda_sem_std,demanda_sem_prom,demanda_sem_mediana
BORRADOR DE PIZARRA,OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
CARPETA ACORDEON,OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
CARPETA DE DOCUMENTOS,OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
CINTA DE REGALO AZUL / DORADO,SUMINISTROS,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,0.0,0.0,0.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
CINTA DE REGALO NEGRO,SUMINISTROS,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,0.0,0.0,0.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
CINTA DE REGALO VERDE OLIVA,SUMINISTROS,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,0.0,0.0,0.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
CURITAS ADHESIVAS,INSUMOS MEDICOS,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
LAMPARAS,EQUIPOS DE OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
LIMPIA VIDRIOS,LIMPIEZA E HIGIENE,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
PORTA PAPELES,OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
REGLA 30CM,OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
RESALTADOR VERDE,OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
SACAGRAPAS,OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
SEPARADORES DE COLORES,OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
TIZA,OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
TOALLAS HUMEDAS,LIMPIEZA E HIGIENE,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,0.0,1.0,0.0,1.0,ALTA,1,2,2,1,2,1,2,UNIFICADO,,0.11666666666666667,0.11666666666666667
TONER 05A/80A,EQUIPOS DE OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
TONER MLTD111L,EQUIPOS DE OFICINA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.11666666666666667,0.25,0.5,1.0,0.0,1.0,0.0,BAJA,1,1,1,1,2,1,1,UNIFICADO,,0.11666666666666667,0.11666666666666667
