Ubicaci�n;SKU;MODELO;VARIANTE;Color ;Talla / CARACTERISICA;Cantidad en inventario
SAMBIL;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;2,00
SAMBIL;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;1,00
SAMBIL;EC172UN;ECO BAG;[EC172UN] ECO BAG (Made in Venezuela/Verde);Verde;�nica;7,00
SAMBIL;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;7,00
SAMBIL;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;18,00
SAMBIL;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;13,00
SAMBIL;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;2,00
SAMBIL;BAC33BF;BACKPACK FLEX;[BAC33BF] BACKPACK FLEX (Kaki);Kaki;�nica;2,00
SAMBIL;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;1,00
SAMBIL;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;1,00
SAMBIL;BAC13BF;BACKPACK FLEX;[BAC13BF] BACKPACK FLEX (Azul Rey);Azul Rey;�nica;1,00
TALLER;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;340,00
TALLER;PONC151EQ;PONCHO ADULTO;[PONC151EQ] PONCHO ADULTO (AZUL);Azul;Adulto;373,00
TALLER;PONC01EQ;PONCHO ADULTO;[PONC01EQ] PONCHO ADULTO (AGUAMARINA);Aguamarina;Adulto;415,00
TALLER;PONC152EQ;PONCHO ADULTO;[PONC152EQ] PONCHO ADULTO (VERDE);Verde;Adulto;439,00
TALLER;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;305,00
TALLER;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;158,00
TALLER;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;82,00
TALLER;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro);Gris Claro;Kids;176,00
TALLER;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo);Azul Cielo;Kids;38,00
TALLER;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;11,00
TALLER;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;261,00
TALLER;CIT12CIB;CITYBAG;[CIT12CIB] CITYBAG (Azul Marino);Azul Marino;�nica;293,00
TALLER;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;327,00
TALLER;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;188,00
TALLER;BAC13BF;BACKPACK FLEX;[BAC13BF] BACKPACK FLEX (Azul Rey);Azul Rey;�nica;411,00
TALLER;BAC33BF;BACKPACK FLEX;[BAC33BF] BACKPACK FLEX (Kaki);Kaki;�nica;403,00
TALLER;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;357,00
TALLER;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;-59,00
TALLER;EC172UN;ECO BAG;[EC172UN] ECO BAG (Made in Venezuela/Verde);Verde;�nica;50,00
TALLER;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;20,00
TALLER;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;34,00
TALLER;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;57,00
CHACAO;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;14,00
CHACAO;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;3,00
CHACAO;EC172UN;ECO BAG;[EC172UN] ECO BAG (Made in Venezuela/Verde);Verde;�nica;11,00
CHACAO;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;20,00
CHACAO;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;10,00
CHACAO;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;11,00
CHACAO;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;4,00
CHACAO;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro);Gris Claro;Kids;1,00
CHACAO;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;3,00
CHACAO;PONC152EQ;PONCHO ADULTO;[PONC152EQ] PONCHO ADULTO (VERDE);Verde;Adulto;6,00
CHACAO;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo);Azul Cielo;Kids;5,00
CHACAO;CIT12CIB;CITYBAG;[CIT12CIB] CITYBAG (Azul Marino);Azul Marino;�nica;14,00
CHACAO;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;7,00
CHACAO;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;9,00
CHACAO;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;17,00
CHACAO;BAC33BF;BACKPACK FLEX;[BAC33BF] BACKPACK FLEX (Kaki);Kaki;�nica;13,00
CHACAO;BAC13BF;BACKPACK FLEX;[BAC13BF] BACKPACK FLEX (Azul Rey);Azul Rey;�nica;13,00
