Ubicaci�n;SKU;MODELO;VARIANTE;Color ;Talla / CARACTERISICA;Cantidad en inventario
CERRO VERDE;LEB212TG;[LEB212TG] LOGO ECO BAG GRANDE;[LEB212TG] LOGO ECO BAG GRANDE;;Grande;-7,00
CERRO VERDE;PONC01EQ;PONCHO ADULTO;[PONC01EQ] PONCHO ADULTO (AGUAMARINA);Aguamarina;Adulto;3,00
GRIETA;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;12,00
GRIETA;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;10,00
SAMBIL;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;5,00
CERRO VERDE;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;2,00
CERRO VERDE;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;3,00
VELA;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;14,00
VELA;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;2,00
VELA;PONC01EQ;PONCHO ADULTO;[PONC01EQ] PONCHO ADULTO (AGUAMARINA);Aguamarina;Adulto;3,00
VELA;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00
VELA;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro);Gris Claro;Kids;2,00
VELA;EC172UN;ECO BAG;[EC172UN] ECO BAG (Made in Venezuela/Verde);Verde;�nica;2,00
VELA;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;5,00
VELA;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;7,00
VELA;PONC152EQ;PONCHO ADULTO;[PONC152EQ] PONCHO ADULTO (VERDE);Verde;Adulto;30,00
VELA;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;18,00
VELA;CIT12CIB;CITYBAG;[CIT12CIB] CITYBAG (Azul Marino);Azul Marino;�nica;17,00
VELA;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;18,00
VELA;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;21,00
VELA;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;12,00
VELA;PONC01EQ;PONCHO ADULTO;[PONC01EQ] PONCHO ADULTO (AGUAMARINA);Aguamarina;Adulto;51,00
VELA;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;2,00
VELA;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;2,00
CHACAO;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;5,00
CHACAO;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;3,00
VELA;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;2,00
VELA;BAC13BF;BACKPACK FLEX;[BAC13BF] BACKPACK FLEX (Azul Rey);Azul Rey;�nica;1,00
VELA;BAC13BF;BACKPACK FLEX;[BAC13BF] BACKPACK FLEX (Azul Rey);Azul Rey;�nica;13,00
VELA;BAC33BF;BACKPACK FLEX;[BAC33BF] BACKPACK FLEX (Kaki);Kaki;�nica;11,00
VELA;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;9,00
VELA;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;24,00
TOLON;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;2,00
GRANDPLAZ;CIT12CIB;CITYBAG;[CIT12CIB] CITYBAG (Azul Marino);Azul Marino;�nica;2,00
GRANDPLAZ;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;3,00
CERRO VERDE;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;4,00
VELA;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;3,00
CERRO VERDE;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo);Azul Cielo;Kids;2,00
CERRO VERDE;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;2,00
VELA;LEB212TG;[LEB212TG] LOGO ECO BAG GRANDE;[LEB212TG] LOGO ECO BAG GRANDE;;Grande;-1,00
CERRO VERDE;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;2,00
SAMBIL;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;1,00
CHACAO;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;1,00
CERRO VERDE;PONC152EQ;PONCHO ADULTO;[PONC152EQ] PONCHO ADULTO (VERDE);Verde;Adulto;3,00
VELA;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;2,00
VELA;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro);Gris Claro;Kids;36,00
VELA;PONC151EQ;PONCHO ADULTO;[PONC151EQ] PONCHO ADULTO (AZUL);Azul;Adulto;30,00
VELA;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;17,00
CHACAO;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;1,00
VELA;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;1,00
VELA;PONC152EQ;PONCHO ADULTO;[PONC152EQ] PONCHO ADULTO (VERDE);Verde;Adulto;4,00
VELA;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;21,00
VELA;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;24,00
VELA;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;2,00
CHACAO;PONC01EQ;PONCHO ADULTO;[PONC01EQ] PONCHO ADULTO (AGUAMARINA);Aguamarina;Adulto;9,00
CHACAO;PONC151EQ;PONCHO ADULTO;[PONC151EQ] PONCHO ADULTO (AZUL);Azul;Adulto;7,00
CERRO VERDE;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;17,00
CERRO VERDE;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;17,00
CERRO VERDE;EC172UN;ECO BAG;[EC172UN] ECO BAG (Made in Venezuela/Verde);Verde;�nica;17,00
CERRO VERDE;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;17,00
CERRO VERDE;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;2,00
GRIETA;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;4,00
GRIETA;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;11,00
GRIETA;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;3,00
GRIETA;CIT12CIB;CITYBAG;[CIT12CIB] CITYBAG (Azul Marino);Azul Marino;�nica;14,00
GRIETA;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;7,00
GRIETA;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;12,00
GRANDPLAZ;EC172UN;ECO BAG;[EC172UN] ECO BAG (Made in Venezuela/Verde);Verde;�nica;1,00
GRANDPLAZ;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;2,00
GRANDPLAZ;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;1,00
GRIETA;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;1,00
VELA;BAC33BF;BACKPACK FLEX;[BAC33BF] BACKPACK FLEX (Kaki);Kaki;�nica;1,00
CERRO VERDE;BAC33BF;BACKPACK FLEX;[BAC33BF] BACKPACK FLEX (Kaki);Kaki;�nica;1,00
GRANDPLAZ;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;2,00
GRANDPLAZ;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;2,00
TOLON;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;6,00
TOLON;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;7,00
TOLON;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;7,00
CERRO VERDE;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;-1,00
GRIETA;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;1,00
SAMBIL;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;6,00
TOLON;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo);Azul Cielo;Kids;1,00
VELA;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;5,00
VELA;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;3,00
VELA;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;5,00
VELA;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;5,00
TALLER;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;-3,00
CERRO VERDE;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;2,00
VELA;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;1,00
VELA;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;4,00
VELA;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;1,00
TOLON;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00
VELA;PONC151EQ;PONCHO ADULTO;[PONC151EQ] PONCHO ADULTO (AZUL);Azul;Adulto;1,00
