Ubicaci�n;Producto;SKU;MODELO;COLOR;Cantidad en inventario
VELA;[DRY0330L] DRY BAG 30L (Amarillo);DRY0330L;DRY BAG 30L;Amarillo;7,00
VELA;[KOA132KA] MINI BAG (Bronce);KOA132KA;MINI BAG;Bronce;14,00
VELA;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;12,00
VELA;[KOA65KA] MINI BAG (Verde Menta);KOA65KA;MINI BAG;Verde Menta;3,00
VELA;[KOA13KA] MINI BAG (Azul Rey);KOA13KA;MINI BAG;Azul Rey;3,00
VELA;[DRY0330L] DRY BAG 30L (Amarillo);DRY0330L;DRY BAG 30L;Amarillo;2,00
VELA;[DRY4230L] DRY BAG 30L (Naranja);DRY4230L;DRY BAG 30L;Naranja;3,00
VELA;[DRY5030L] DRY BAG 30L (Rojo);DRY5030L;DRY BAG 30L;Rojo;2,00
VELA;[KOA131KA] MINI BAG (Camel);KOA131KA;MINI BAG;Camel;2,00
VELA;[DRY6630L] DRY BAG 30L (Verde Militar);DRY6630L;DRY BAG 30L;Verde Militar;2,00
VELA;[KOA43KA] MINI BAG (Negro);KOA43KA;MINI BAG;Negro;3,00
VELA;[DRY1330L] DRY BAG 30L (Azul Rey);DRY1330L;DRY BAG 30L;Azul Rey;3,00
VELA;[DRY3030L] DRY BAG 30L (Gris Claro);DRY3030L;DRY BAG 30L;Gris Claro;1,00
VELA;[DRY1630L] DRY BAG 30L (Blanco);DRY1630L;DRY BAG 30L;Blanco;1,00
VELA;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;1,00
VELA;[KOA132KA] MINI BAG (Bronce);KOA132KA;MINI BAG;Bronce;1,00
