Fecha de la orden;SKU;Modelo;Producto;Color;Talla;Cant. ordenada;Vendedor;FECHA
12/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;La Grieta;julio-2025
12/07/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;Sambil Valencia;julio-2025
13/07/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;Sambil Valencia;julio-2025
14/07/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;La Grieta;julio-2025
14/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;La Grieta;julio-2025
16/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Sambil Valencia;julio-2025
17/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;La Grieta;julio-2025
17/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;La Grieta;julio-2025
18/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Sambil Valencia;julio-2025
19/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Cerro Verde ;julio-2025
19/07/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;La Grieta;julio-2025
19/07/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;1,00;Sambil Valencia;julio-2025
20/07/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;Cerro Verde ;julio-2025
20/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Sambil Valencia;julio-2025
