Ubicaci�n;Producto;SKU;MODELO;COLOR;TALLA;Cantidad en inventario
VELA;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;5,00
VELA;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;2,00
VELA;[POLPLCA12TS] CLASSIC POLO (Azul Marino, S);POLPLCA12TS;CLASSIC POLO;Azul Marino;S;1,00
VELA;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;2,00
VELA;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;5,00
VELA;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;2,00
VELA;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;4,00
VELA;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;2,00
VELA;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;2,00
VELA;[POLPLCA50TL] CLASSIC POLO (Rojo, L);POLPLCA50TL;CLASSIC POLO;Rojo;L;2,00
VELA;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;2,00
VELA;[POLPLCA14TXL] CLASSIC POLO (Azul Turquesa, XL);POLPLCA14TXL;CLASSIC POLO;Azul Turquesa;XL;2,00
VELA;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;2,00
VELA;[POLPLCA33TM] CLASSIC POLO (Beige, M);POLPLCA33TM;CLASSIC POLO;Beige;M;2,00
VELA;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;3,00
