Ubicaci�n;Producto;SKU;MODELO;COLOR;TALLA;Cantidad en inventario
CHACAO;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;1,00
CHACAO;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;5,00
CHACAO;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;3,00
CHACAO;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;5,00
CHACAO;[POLPLCA12TS] CLASSIC POLO (Azul Marino, S);POLPLCA12TS;CLASSIC POLO;Azul Marino;S;2,00
CHACAO;[POLPLCA14TXL] CLASSIC POLO (Azul Turquesa, XL);POLPLCA14TXL;CLASSIC POLO;Azul Turquesa;XL;1,00
CHACAO;[POLPLCA33TM] CLASSIC POLO (Beige, M);POLPLCA33TM;CLASSIC POLO;Beige;M;5,00
CHACAO;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;1,00
CHACAO;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;1,00
CHACAO;[POLPLCA50TL] CLASSIC POLO (Rojo, L);POLPLCA50TL;CLASSIC POLO;Rojo;L;1,00
CHACAO;[POLPLCA50T2XL] CLASSIC POLO (Rojo, 2XL);POLPLCA50T2XL;CLASSIC POLO;Rojo;2XL;1,00
CHACAO;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;1,00
CHACAO;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;1,00
CHACAO;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;1,00
CHACAO;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;2,00
CHACAO;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;2,00
CHACAO;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;3,00
CHACAO;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;1,00
CHACAO;[POLPLCA12TS] CLASSIC POLO (Azul Marino, S);POLPLCA12TS;CLASSIC POLO;Azul Marino;S;1,00
CHACAO;[POLPLCA30TM] CLASSIC POLO (Gris Claro, M);POLPLCA30TM;CLASSIC POLO;Gris Claro;M;2,00
CHACAO;[POLPLCA30TXL] CLASSIC POLO (Gris Claro, XL);POLPLCA30TXL;CLASSIC POLO;Gris Claro;XL;1,00
CHACAO;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;1,00
GRANDPLAZ;[POLPLCA16TL] CLASSIC POLO (Blanco, L);POLPLCA16TL;CLASSIC POLO;Blanco;L;2,00
GRANDPLAZ;[POLPLCA16TM] CLASSIC POLO (Blanco, M);POLPLCA16TM;CLASSIC POLO;Blanco;M;1,00
GRANDPLAZ;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;1,00
GRANDPLAZ;[POLPLCA12TS] CLASSIC POLO (Azul Marino, S);POLPLCA12TS;CLASSIC POLO;Azul Marino;S;1,00
GRANDPLAZ;[POLPLCA14TXL] CLASSIC POLO (Azul Turquesa, XL);POLPLCA14TXL;CLASSIC POLO;Azul Turquesa;XL;1,00
GRANDPLAZ;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;1,00
GRANDPLAZ;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;1,00
GRANDPLAZ;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;1,00
GRANDPLAZ;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;1,00
GRANDPLAZ;[POLPLCA16TL] CLASSIC POLO (Blanco, L);POLPLCA16TL;CLASSIC POLO;Blanco;L;1,00
GRANDPLAZ;[POLPLCA16TM] CLASSIC POLO (Blanco, M);POLPLCA16TM;CLASSIC POLO;Blanco;M;1,00
GRANDPLAZ;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;1,00
GRANDPLAZ;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;1,00
GRANDPLAZ;[POLPLCA50T2XL] CLASSIC POLO (Rojo, 2XL);POLPLCA50T2XL;CLASSIC POLO;Rojo;2XL;1,00
GRANDPLAZ;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;1,00
GRANDPLAZ;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;1,00
GRANDPLAZ;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;1,00
GRANDPLAZ;[POLPLCA30TM] CLASSIC POLO (Gris Claro, M);POLPLCA30TM;CLASSIC POLO;Gris Claro;M;1,00
GRIETA;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;10,00
GRIETA;[POLPLCA50TL] CLASSIC POLO (Rojo, L);POLPLCA50TL;CLASSIC POLO;Rojo;L;6,00
GRIETA;[POLPLCA50T2XL] CLASSIC POLO (Rojo, 2XL);POLPLCA50T2XL;CLASSIC POLO;Rojo;2XL;4,00
GRIETA;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;6,00
GRIETA;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;3,00
GRIETA;[POLPLCA14T2XL] CLASSIC POLO (Azul Turquesa, 2XL);POLPLCA14T2XL;CLASSIC POLO;Azul Turquesa;2XL;3,00
GRIETA;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;4,00
GRIETA;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;4,00
GRIETA;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;4,00
GRIETA;[POLPLCA33TM] CLASSIC POLO (Beige, M);POLPLCA33TM;CLASSIC POLO;Beige;M;3,00
GRIETA;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;5,00
GRIETA;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;2,00
GRIETA;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;4,00
GRIETA;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;4,00
GRIETA;[POLPLCA30TL] CLASSIC POLO (Gris Claro, L);POLPLCA30TL;CLASSIC POLO;Gris Claro;L;2,00
GRIETA;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;1,00
GRIETA;[POLPLCA50TL] CLASSIC POLO (Rojo, L);POLPLCA50TL;CLASSIC POLO;Rojo;L;2,00
GRIETA;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;1,00
GRIETA;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;2,00
GRIETA;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;2,00
GRIETA;[POLPLCA30T2XL] CLASSIC POLO (Gris Claro, 2XL);POLPLCA30T2XL;CLASSIC POLO;Gris Claro;2XL;1,00
GRIETA;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;1,00
GRIETA;[POLPLCA30TM] CLASSIC POLO (Gris Claro, M);POLPLCA30TM;CLASSIC POLO;Gris Claro;M;2,00
GRIETA;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;1,00
GRIETA;[POLPLCA16TM] CLASSIC POLO (Blanco, M);POLPLCA16TM;CLASSIC POLO;Blanco;M;1,00
GRIETA;[POLPLCA14T2XL] CLASSIC POLO (Azul Turquesa, 2XL);POLPLCA14T2XL;CLASSIC POLO;Azul Turquesa;2XL;1,00
GRIETA;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;1,00
GRIETA;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;1,00
SAMBIL;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;1,00
SAMBIL;[POLPLCA50T2XL] CLASSIC POLO (Rojo, 2XL);POLPLCA50T2XL;CLASSIC POLO;Rojo;2XL;3,00
SAMBIL;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;6,00
SAMBIL;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;2,00
SAMBIL;[POLPLCA50TL] CLASSIC POLO (Rojo, L);POLPLCA50TL;CLASSIC POLO;Rojo;L;4,00
SAMBIL;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;1,00
